Status,PageTime_ms,TotalServerTime_ms,TotalBrowserTime_ms,Action_count,Api_count,Db_count,DbTime_ms,Xhr_count
Success,2198,2041,1709,13,52,289,502,10
Success,2204,2023,1679,13,50,289,525,10
Invalid,2723,2182,1944,13,50,331,472,10
Success,2402,2178,1716,13,52,293,511,10
Success,2323,2199,1675,13,54,290,491,10
Success,2236,2456,1642,13,50,329,477,10
Regression,2510,2267,1663,14,52,289,385,10
Invalid,2292,2180,1679,13,54,292,485,10
Success,2352,2297,1801,13,52,289,467,10
Invalid,3734,3545,2758,14,58,292,510,11
Success,2119,2256,1691,13,50,287,559,10
Invalid,2447,2261,1787,13,54,323,540,10
Success,2309,2103,1652,13,52,293,502,10
Regression,2823,2184,1617,14,52,285,305,10
Success,2248,2452,1576,13,54,286,478,10
Invalid,2174,2378,1644,13,59,317,489,10
Regression,2544,2102,1787,13,59,321,508,10
Invalid,2351,2284,1821,13,60,320,680,10
Success,2162,2302,1608,13,50,333,478,10
Success,2300,2146,1729,13,59,319,488,10
Success,2199,1967,1661,13,59,321,477,10
Invalid,2195,2534,1806,13,59,349,495,10
Success,2247,1703,1930,13,0,0,0,11
Success,2203,1981,1735,13,52,291,500,10
Invalid,2546,2007,2063,13,0,0,0,11
Regression,2614,2175,1593,14,52,291,309,10
Success,2499,2017,1970,13,59,317,500,10
Success,2471,2640,1810,13,59,321,482,10
Invalid,2983,3255,1657,14,52,287,1110,10
Invalid,2471,2909,1725,13,50,333,483,10
Success,2191,2318,1767,13,59,327,477,10
Regression,2761,2607,1652,13,52,287,700,10
Success,2334,2338,1714,13,50,294,481,10
Invalid,2184,2302,1561,13,52,287,531,10
Success,2354,2649,1697,13,59,321,511,10
Invalid,2170,2633,1802,13,50,294,580,10
Regression,2780,2167,1631,14,52,293,313,10
Invalid,3012,2370,1978,13,50,285,560,10
Success,2099,2155,1550,13,59,323,499,10
Success,2127,1946,1730,13,50,293,503,10
Invalid,2342,2414,1709,13,50,287,570,10
Success,2239,2158,1688,13,50,333,513,10
Success,2394,2548,1740,13,52,293,489,10
Error,2249,1275,1177,10,29,159,301,6
Success,2129,2799,1612,13,67,349,518,10
Invalid,2478,1930,1904,13,50,285,507,10
Regression,4757,7935,1693,13,73,534,591,10
Regression,2652,2293,1593,13,52,287,305,10
Success,2309,2147,1671,13,52,289,491,10
Regression,3120,2488,1678,13,52,293,364,10
Success,2270,2085,1774,13,59,321,463,10
Regression,2947,2339,1624,13,52,287,344,10
Success,2304,3002,1816,12,57,322,178,10
Regression,2578,2254,1818,13,59,379,502,10
Success,2211,2415,1798,13,59,319,474,10
Regression,2761,2607,1652,13,52,287,700,10
Success,2228,2251,1825,13,50,285,529,10
Success,2284,2346,1808,13,53,295,467,10
Regression,2592,2142,1868,13,59,319,501,10
Success,2096,1942,1700,13,52,289,515,10
Invalid,2316,2148,1700,13,54,317,471,10
Success,2394,2214,1817,13,50,291,518,10
Success,2360,2432,1707,13,50,325,489,10
Invalid,1526,2162,1337,12,57,315,483,10
Invalid,2312,3265,1679,13,62,294,498,10
Regression,4199,6591,1831,13,50,363,541,10
Success,2240,2457,1932,13,59,325,473,10
Success,2214,2002,1617,13,50,291,521,10
Success,2320,2545,1677,13,50,294,577,10
Success,2225,1972,1694,13,50,285,512,10
Invalid,5957,6842,1664,14,52,289,4936,10
Success,2200,2157,1746,13,50,293,522,10
Invalid,2624,2602,1865,13,50,371,517,10
Invalid,2362,2327,1697,13,52,291,767,10
Success,2126,2623,1571,13,50,327,483,10
Success,2201,1956,1716,13,51,288,518,10
Success,2381,2382,1744,13,52,287,568,10
Invalid,5729,7844,1862,14,52,308,5252,10
Invalid,2150,2414,1619,13,50,292,639,10
Invalid,2112,2402,1588,13,50,293,574,10
Invalid,3509,3586,1641,14,52,291,1497,10
Success,2135,2502,1675,13,59,323,486,10
Invalid,2032,2405,1650,13,50,333,487,10
Success,2184,1908,1697,13,50,285,502,10
Regression,2781,3577,1749,13,52,338,513,10
Success,2369,2128,1758,13,50,329,471,10
Success,2276,2183,1670,13,52,293,493,10
Invalid,2258,2350,1806,13,59,319,516,10
Success,2304,2052,1687,13,50,287,509,10
Regression,3769,4769,1663,13,52,289,2476,10
Success,2250,2397,1578,13,50,327,584,10
Success,2227,2287,1693,13,50,289,561,10
Success,2304,1986,1734,13,52,285,498,10
Success,2283,2039,1707,13,59,317,466,10
Success,2146,2048,1742,13,59,317,508,10
Success,2283,2017,1665,13,52,285,480,10
Invalid,1925,2173,1430,13,52,285,474,10
Success,2164,2361,1661,13,50,287,568,10
Success,2202,2048,1781,13,50,285,512,10
Invalid,2174,2187,1787,13,50,289,519,10
Invalid,2784,2097,2159,13,50,289,516,10
Invalid,2333,2262,1728,13,59,321,483,10
Invalid,2134,2586,1603,13,59,319,482,10
Invalid,2167,2085,1721,13,50,300,536,10
Success,2048,2146,1540,13,52,287,503,10
Invalid,3733,2715,2724,14,68,304,540,11
Error,2327,4841,925,7,30,192,252,7
Regression,2505,2452,1625,14,61,307,378,10
Invalid,2155,2405,1618,13,50,285,565,10
Success,2452,2017,1730,13,59,319,494,10
Invalid,2490,2280,1848,13,54,286,496,10
Invalid,2471,2909,1725,13,50,333,483,10
Success,2162,2323,1630,13,50,285,569,10
Invalid,2306,2367,1607,13,59,317,464,10
Success,2098,2227,1642,13,50,285,521,10
Success,2297,2640,1687,13,50,295,473,10
Success,2109,2268,1682,13,50,329,533,10
Regression,3212,2367,3135,14,58,296,521,11
Success,2148,2241,1639,13,50,289,575,10
Success,2334,2226,1793,13,59,319,479,10
Invalid,2115,1956,1607,13,50,287,507,10
Regression,2611,4816,1668,13,50,393,604,10
Invalid,2075,2333,1686,13,50,287,575,10
Success,2240,2136,1653,13,51,290,522,10
Invalid,1995,2536,1888,10,48,274,140,3
Success,2142,2398,1674,13,59,321,486,10
Success,2372,2563,1761,13,54,288,470,10
Invalid,2554,2222,1586,13,52,285,322,10
Success,2131,2383,1590,13,50,287,557,10
Success,2179,1986,1737,13,50,289,505,10
Invalid,2207,3098,1790,13,67,347,495,10
Success,2216,2184,1805,13,59,317,448,10
Invalid,1511,2001,1351,12,57,313,419,10
Success,2061,2278,1657,13,50,333,491,10
Success,2126,2316,1561,13,59,323,468,10
Success,2336,2778,1705,13,59,321,486,10
Success,2239,2348,1695,13,52,287,523,10
Invalid,2255,2223,1693,13,52,287,482,10
Success,2180,2108,1689,13,50,287,523,10
Success,2200,1991,1627,13,50,285,530,10
Invalid,2149,2268,1587,13,58,318,354,10
Success,2231,1998,1876,13,50,285,515,10
Success,2314,2267,1771,13,59,323,479,10
Success,2172,2453,1657,13,50,285,568,10
Error,2388,1510,1165,10,31,207,291,6
Invalid,3511,3036,2347,13,59,322,1146,10
Invalid,1810,1662,1032,9,32,152,296,6
Success,2310,2332,1777,13,52,298,491,10
Regression,2591,2173,1864,13,59,321,480,10
Invalid,2183,2353,1694,13,0,0,0,11
Regression,2664,2222,1636,13,52,287,340,10
Invalid,3265,3324,1730,13,52,287,1811,10
Success,2181,1950,1638,13,50,285,523,10
Success,2435,2251,1792,13,50,331,479,10
Success,2129,2497,1687,13,50,289,574,10
Invalid,2225,2129,1746,13,50,289,514,10
Success,2101,2379,1649,13,50,285,559,10
Success,2395,2121,1941,13,59,317,488,10
Invalid,1881,2385,1411,13,0,0,0,11
Invalid,3669,3512,1706,13,52,291,1545,10
Success,2157,2183,1750,13,50,289,515,10
Regression,2672,2466,1610,13,52,289,420,10
Success,2409,2229,1706,13,59,317,474,10
Regression,2885,2305,1746,13,52,287,329,10
Invalid,3574,4112,1643,13,52,291,2108,10
Invalid,2283,2261,1690,13,52,289,538,10
Invalid,2640,2137,2169,13,59,321,518,10
Invalid,3473,4045,1647,14,52,285,2119,10
Success,2175,2318,1673,13,59,325,470,10
Success,2261,2063,1743,13,50,329,478,10
Invalid,3043,2593,1644,13,52,285,739,10
Invalid,3176,2486,2449,13,65,296,399,11
Success,2457,1997,1787,13,59,325,481,10
Success,2124,2468,1781,13,59,319,475,10
Success,2164,1993,1680,13,50,287,511,10
Success,2214,1932,1666,13,52,291,501,10
Success,2390,2300,1982,13,50,285,540,10
Invalid,3311,5793,1730,13,50,387,625,10
Success,2174,2016,1700,13,50,287,515,10
Regression,2555,2218,1959,13,59,321,524,10
Success,2225,1975,1825,13,59,319,466,10
Success,2090,2161,1786,13,0,0,0,11
Success,2217,2075,1661,13,59,319,527,10
Success,2138,2136,1574,13,50,337,485,10
Regression,2720,2427,2045,13,50,289,587,10
Regression,2925,2189,1614,14,52,287,299,10
Regression,2625,2197,1966,13,60,318,477,10
Invalid,2961,1934,3193,12,49,283,371,10
Invalid,2492,2215,1879,13,54,286,481,10
Invalid,2196,2521,1649,13,50,289,594,10
Invalid,2223,2120,1673,13,0,0,0,11
Success,2179,2004,1608,13,50,289,530,10
Success,2245,3331,1608,13,58,361,521,10
Regression,3787,4355,1689,13,52,285,1808,10
Success,2145,2446,1687,13,50,337,473,10
Success,2243,2155,1850,13,50,289,524,10
Invalid,2088,2006,1552,13,0,0,0,11
Invalid,2107,2616,1651,13,59,323,509,10
Success,2271,2385,1737,13,54,290,487,10
Success,2180,2243,1821,13,59,317,464,10
Success,2311,2372,1644,13,59,319,472,10
Success,2200,2511,1635,13,59,319,500,10
Success,2112,2433,1719,13,50,325,467,10
Invalid,3073,2221,1722,13,52,285,315,10
Regression,2707,2378,1696,13,52,285,306,10
Invalid,4714,5492,1773,14,52,289,3557,10
Success,2338,2225,1740,13,54,288,487,10
Invalid,2592,3360,1552,13,50,582,570,10
Success,2217,2370,1783,13,59,321,494,10
Invalid,2244,2259,1614,13,52,291,493,10
Success,2116,1963,1654,13,52,287,509,10
Success,2373,2141,1716,13,59,315,488,10
Invalid,2125,1952,1569,13,50,287,509,10
Success,2189,1921,1842,13,59,325,492,10
Regression,5043,8286,1696,13,73,538,592,10
Invalid,2180,1952,1705,13,50,293,520,10
Regression,3201,2387,1652,13,52,287,313,10
Invalid,1954,2204,1817,10,44,235,132,3
Regression,2634,2196,1631,14,52,289,313,10
Success,2489,2523,1785,13,54,286,480,10
Success,2268,2345,1645,13,50,371,491,10
Invalid,2917,2504,2354,13,59,317,480,10
Success,2244,1927,1702,13,50,287,505,10
Regression,2601,2396,1830,13,59,319,488,10
Success,2263,2306,1773,13,52,285,468,10
Invalid,3869,4506,1615,13,52,287,2589,10
Invalid,2032,2405,1650,13,50,333,487,10
Regression,2521,3351,1546,13,54,338,511,10
Success,2187,1893,1736,13,0,0,0,11
Regression,4692,5695,1688,14,52,287,3705,10
Regression,3672,2303,3001,14,61,293,514,11
Success,2094,2034,1763,13,0,0,0,11
Success,2437,2225,1748,13,54,288,484,10
Success,2169,2592,1720,13,59,321,479,10
Invalid,2140,2241,1570,13,52,289,518,10
Success,2249,3088,1556,13,50,323,471,10
Success,2159,2365,1605,13,59,317,475,10
Success,2130,2206,1596,13,52,291,515,10
Invalid,2076,1935,1764,13,59,323,484,10
Invalid,2883,2353,2508,13,50,285,573,10
Error,2362,1491,1202,10,31,203,298,6
Invalid,2381,2363,1931,13,50,285,531,10
Invalid,2407,2032,1825,13,50,293,531,10
Invalid,2079,2104,1727,13,59,319,518,10
Success,2279,2149,1698,13,50,291,519,10
Invalid,2233,1922,1644,13,52,285,515,10
Invalid,2371,2794,1691,13,52,289,1036,10
Invalid,1976,1845,1007,9,33,156,284,6
Regression,3065,1858,3038,12,49,285,390,10
Success,2119,2456,1631,13,50,289,570,10
Invalid,1857,2204,1364,13,52,293,487,10
Invalid,2225,2129,1746,13,50,289,514,10
Success,2228,2413,1735,13,59,316,469,10
Regression,2525,3441,1612,13,54,334,514,10
Invalid,2297,1947,1655,13,50,287,505,10
Invalid,2470,2231,1764,13,59,321,484,10
Regression,2974,2342,1626,14,52,289,307,10
Regression,2774,2217,1666,13,52,285,309,10
Invalid,2661,2046,1832,13,59,323,486,10
Success,2230,1967,1704,13,50,285,505,10
Invalid,2184,2325,1626,13,59,323,529,10
Success,2406,2438,1766,13,50,296,470,10
Success,2188,2487,1639,13,50,331,489,10
Success,2277,2950,1706,13,52,332,505,10
Regression,2966,2358,1645,14,52,285,345,10
Success,2281,2100,1893,13,50,291,513,10
Invalid,2413,1946,1762,13,50,287,522,10
Invalid,2635,2259,2019,13,59,319,547,10
Success,2334,2454,1710,13,54,319,504,10
Success,2069,2409,1678,13,50,285,565,10
Success,2138,2336,1589,13,59,319,469,10
Success,2319,2357,1942,13,50,285,563,10
Invalid,2690,2297,1721,14,52,304,325,10
Invalid,2178,2925,1583,13,50,371,649,10
Success,2326,1932,1779,13,50,289,502,10
Success,2300,2219,1689,13,54,292,495,10
Invalid,2188,2197,1718,13,52,289,525,10
Success,2157,2256,1737,13,59,315,470,10
Invalid,2210,2375,1688,13,59,321,478,10
Success,2448,2374,1763,13,54,290,481,10
Success,2209,2295,1786,13,50,287,572,10
Success,2149,2248,1642,13,58,295,527,10
Invalid,3244,1973,2373,13,0,0,0,11
Success,2258,2388,1738,13,59,325,467,10
Regression,2833,2340,1631,14,52,287,407,10
Regression,3888,2402,3231,14,60,290,488,11
Regression,2544,2135,1898,13,59,317,501,10
Success,2328,2162,1698,13,54,286,481,10
Success,2344,2019,1724,13,52,285,487,10
Success,2189,2292,1661,13,59,321,477,10
Success,2234,2883,1632,13,52,334,514,10
Success,2234,2367,1656,13,50,327,481,10
Success,2279,2013,1718,13,53,287,486,10
Invalid,2262,2489,1795,13,59,381,501,10
Success,2115,2519,1809,13,59,325,474,10
Success,2162,2241,1627,13,50,289,532,10
Success,2206,2085,1706,13,50,293,517,10
Invalid,2324,2181,1762,13,52,287,505,10
Success,2204,2023,1679,13,50,289,525,10
Success,2091,2015,1621,13,0,0,0,11
Invalid,1901,1781,1039,9,32,154,287,6
Success,2171,2478,1715,13,50,293,606,10
Invalid,2262,2397,1770,13,50,296,487,10
Success,2183,2185,1688,13,59,319,466,10
Invalid,4575,5439,1754,13,52,289,3153,10
Invalid,2465,2591,1874,13,52,289,487,10
Invalid,2186,2321,1664,13,58,319,560,10
Invalid,2436,2397,1765,13,50,329,477,10
Success,2300,2334,1921,13,50,287,519,10
Success,2133,2225,1698,13,50,289,529,10
Invalid,2297,1947,1655,13,50,287,505,10
Invalid,2486,2420,1822,13,59,319,483,10
Success,2182,1960,1603,13,50,287,505,10
Invalid,2500,2408,1860,13,59,317,478,10
Success,2187,1829,1702,13,0,0,0,11
Success,2156,2289,1666,13,50,337,482,10
Success,2120,2536,1632,13,50,287,595,10
Invalid,3888,4055,1626,13,52,287,2125,10
Invalid,2238,1987,1891,13,50,289,505,10
Regression,2505,2167,1596,14,52,285,317,10
Success,2214,1974,1762,13,50,293,525,10
Success,2126,2237,1712,13,50,285,566,10
